Matricula;TotalCreditos;TotalDebitosObrigatorios;TotalDebitosFacultativos
1465451525;4044.78;442.60;832.00
1275030421;981.00;44.00;293.71
1275035466;998.00;61.00;0.00
0541744062;998.00;61.00;260.76
0541744453;1808.59;201.20;0.00
0541744798;998.00;60.04;126.96
0541745930;2510.98;279.34;633.94
0541749102;998.00;61.00;263.00
0541775804;998.00;60.70;203.30
0541778072;998.00;61.00;81.00
0541779613;978.92;41.67;298.25
0541782436;998.00;61.00;202.40
0541783998;998.00;61.00;306.81
0541784161;998.00;60.50;195.50
0541784641;2254.18;241.04;350.38
5471530981;998.00;61.00;236.00
5471532259;981.00;43.77;305.23
5471533301;1959.20;206.13;520.82
5471533476;998.00;60.34;306.66
5471533786;1328.39;147.77;409.60
5471538940;998.00;61.00;263.90
5471542270;998.00;60.45;150.55
5471546675;1972.27;207.70;337.52
0541826263;998.00;61.00;299.78
0541832026;1767.63;93.27;571.47
0541832832;998.00;60.10;263.90
0541833308;998.00;61.00;0.00
0541836617;4268.60;375.83;855.23
0541836994;998.00;61.00;305.82
0541838180;1056.09;97.90;18.19
0541839330;998.00;60.63;213.37
0541839713;2362.94;220.87;577.38
0541839756;981.00;44.00;217.20
0541860224;998.00;61.00;263.90
0541861034;4111.60;445.39;1098.86
0541867105;3624.14;403.18;862.80
0541871390;4087.26;444.37;156.10
0541877445;981.00;44.00;134.71
0541878859;2391.74;266.07;286.75
0541879120;998.00;61.00;64.10
0541883917;998.00;61.00;0.00
0541883984;998.00;61.00;262.90
0541884255;1482.11;164.27;186.84
0541884590;998.00;61.00;308.00
0541886150;998.00;60.90;217.10
0541888757;998.00;61.00;236.30
0541897292;987.49;50.49;303.44
1720975466;998.00;61.00;236.40
1720976063;2652.85;170.34;866.73
1720976284;998.00;61.00;236.30
1720976454;998.00;60.10;263.90
1720976730;998.00;61.00;0.00
1720976918;998.00;61.00;0.00
1720977574;998.00;61.00;0.00
1720977710;978.92;41.92;335.31
1720979615;998.00;60.51;149.49
1720979780;998.00;61.00;0.00
1720979925;978.92;41.92;80.34
1720980192;981.00;44.00;0.00
1720981687;998.00;61.00;0.00
1720982136;3431.85;3431.85;0.00
1720984848;998.00;61.00;0.00
1720990120;1829.10;202.66;419.44
1720992760;2219.51;229.07;446.44
1720993006;1859.63;206.19;574.44
1720993863;4795.82;42.32;437.85
1720993898;2799.16;253.66;536.50
5471709434;998.00;61.00;0.00
5471710157;981.00;44.00;198.90
0541610295;3648.68;374.25;1248.92
0541611208;1380.87;128.21;439.42
0541611402;998.00;61.00;180.00
0541611615;2694.87;249.39;663.25
0541618105;998.00;61.00;303.62
